Error.Type,Starting.Peak.Richness,Actual.Peak.Richness,True.Zero.Removed.Peak.Richness,Niche.Breadth,Iteration,Min.Detect,Samp1.niche,Samp2.niche,Within.Peak.Diff.Rsq,Between.Peak.Diff.Rsq,Obs.vs.True.Rsq
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.639384019523613,0.536464141588223,0.534489324129788
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.823058684425359,0.785462876493203,0.785675564456362
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.740838756422708,0.769487910589221,0.765791110618569
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.88359292423009,0.827099727456283,0.826856793961688
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.743394928491764,0.664959687979606,0.665345587992775
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.731097076244496,0.578524802949671,0.579090641865197
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.773558208186963,0.805861268852581,0.803545846694681
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.678067288380162,0.606845736391768,0.605872857271774
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.692581540769187,0.618928884860638,0.618944729340164
Detectability.Same.Between.Samples,100,100,100,200,1,0,815,874,0.707371280318447,0.638839972691845,0.639102436489817
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.5562061674123,0.637675471617162,0.638146582882717
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.609571512378862,0.74291766827702,0.736702941276695
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.593813210107441,0.556684884629994,0.556892780822142
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.694581676444606,0.706806195598132,0.706964589157006
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.728010068191269,0.760055825345619,0.760371019100504
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.733246705169186,0.748037591363215,0.747494342167675
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.74299849640866,0.817833287498218,0.816827103620971
Detectability.Differs.Between.Samples,100,100,100,200,1,0,815,874,0.634429597649343,0.643700868193388,0.64367211280441
