Error.Type,Starting.Peak.Richness,Actual.Peak.Richness,True.Zero.Removed.Peak.Richness,Niche.Breadth,Iteration,Min.Detect,Samp1.niche,Samp2.niche,Within.Peak.Diff.Rsq,Between.Peak.Diff.Rsq,Obs.vs.True.Rsq
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.802056019767424,0.635046215928839,0.633881632081796
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.766254843890782,0.754989161178391,0.754211545056164
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.639824825801163,0.565261661685149,0.565284214064975
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.702810124864134,0.656649867570871,0.655624762926435
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.712102485060773,0.677477117275055,0.677520023003013
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.655351404127424,0.846978990044808,0.846957962776122
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.678206760745687,0.683807717873075,0.683826420302671
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.679695711978836,0.692546051178546,0.691926392810372
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.654723129988208,0.659745912829022,0.659803908174331
Detectability.Same.Between.Samples,100,100,100,25,1,0,535,15,0.737257406874408,0.74247637541161,0.741886365615171
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.675437411748362,0.674325016473494,0.674102496273526
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.589787703929428,0.631769403152981,0.629517329595255
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.688334048353297,0.72435535055085,0.723898736417772
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.700673250271622,0.722659822898554,0.717617531198964
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.651996075911034,0.705517543970864,0.705536764474133
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.667536474044356,0.55518493164416,0.555063654340331
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.588589623409213,0.587262004890194,0.587007966385594
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.642752590571191,0.629572718883952,0.629346789736482
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.601525895082034,0.610964557258803,0.610605586065625
Detectability.Differs.Between.Samples,100,100,100,25,1,0,535,15,0.582281045258999,0.680996111178088,0.681034776468686
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.711884390030943,0.61217332447863,0.625883655844006
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.811570401976526,0.718899516745088,0.734483825022527
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.811366430815337,0.679518128462891,0.696583574897139
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.806997838198705,0.6944918355574,0.712947396599174
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.83383040773645,0.754682252419391,0.773261156056861
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.737569710120939,0.618077264827755,0.63789555580947
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.741463456208375,0.61704020050118,0.635115381364811
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.801227571405619,0.725514619083248,0.744479933605729
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.801707607105204,0.732307094340697,0.746364858064981
Detectability.Same.Between.Samples,100,100,100,50,2,0,439,595,0.757423560562367,0.603552150827092,0.627781386442464
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.647145237901352,0.696228096250182,0.711745081001026
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.736205047867479,0.809792277092114,0.820886483687071
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.722605198987952,0.54712778477322,0.577034328844488
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.593958409067108,0.544192763012141,0.557890849216093
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.700843587567928,0.655702901026649,0.680128720984623
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.790390080910805,0.826261877436888,0.839460898226521
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.803783866109532,0.816494218746836,0.825854160555045
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.649288720727094,0.731278472231705,0.7503907748731
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.652033708953799,0.649110293772551,0.669298649180256
Detectability.Differs.Between.Samples,100,100,100,50,2,0,439,595,0.696609482279499,0.658473891820837,0.678645305967252
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.678764467006798,0.2734044222276,0.434291553189154
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.5761709835737,0.255268994635749,0.420890464660105
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.731082169696287,0.454683380177432,0.602925170409254
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.62259037667559,0.337377393897127,0.451630433939661
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.685123204773854,0.392042820659114,0.527426159673798
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.727431523715639,0.416571330408507,0.515350180742091
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.585406090926072,0.36694944171981,0.437638063763522
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.678983912843697,0.363546037399061,0.536092038911447
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.765401747662434,0.320494677857594,0.467499219042622
Detectability.Same.Between.Samples,100,100,100,5,3,0,417,736,0.728229665485078,0.348896530934919,0.516377033776559
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.208942102609038,0.270092575848509,0.414143074994688
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.256429329040245,0.312697439649017,0.467044019001303
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.387288123710857,0.445767554023494,0.553412462523086
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.353116648529828,0.365175128869829,0.500349994306369
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.198418634328858,0.26269274636411,0.388107824175739
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.3572668649013,0.38275663361034,0.535150528766051
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.372899843022699,0.283759162448301,0.466627398672314
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.370949977125435,0.310361941474437,0.450617799487554
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.251611246746053,0.381493361380384,0.493655142337742
Detectability.Differs.Between.Samples,100,100,100,5,3,0,417,736,0.192722248563215,0.225520671155068,0.40560239243275
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.758592400362339,0.534975294795658,0.577997233887547
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.729144571666099,0.407691461404549,0.464882606856385
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.824222929390044,0.731276403847523,0.76747818656934
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.821946668405524,0.679959863803381,0.701932623245398
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.695050505239474,0.472154683122564,0.540352560559324
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.772211656861793,0.552549801617084,0.603640145982574
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.756871148236826,0.672318735685006,0.700411658291688
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.732928771843029,0.548742020450656,0.60769903854582
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.748735059574663,0.589042046147362,0.624725160587505
Detectability.Same.Between.Samples,100,100,100,25,4,0,228,721,0.788819055697606,0.566574899508089,0.623175347713047
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.464004106115182,0.49063523336789,0.516824119090973
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.676669046359162,0.626320481630688,0.659952535197921
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.51931812305926,0.500298452391225,0.543019449432075
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.55246102067797,0.500379440997017,0.548213082713652
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.635254141507912,0.594224097073576,0.628406288888846
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.601286662579099,0.468590713812206,0.497297843953189
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.630570384556757,0.595548991428613,0.620358251325431
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.532506343860967,0.520228867752512,0.548822219116163
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.575899139103854,0.568376974670465,0.610090760888319
Detectability.Differs.Between.Samples,100,100,100,25,4,0,228,721,0.626340943449953,0.612957348362144,0.645052620875173
